Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1604.038330078125
FDW14,OUT017,1402.8414306640625
NCN55,OUT010,969.6802978515625
FDQ58,OUT017,2501.665283203125
FDY38,OUT027,5456.23974609375
FDH56,OUT046,1825.531494140625
FDL48,OUT018,619.308837890625
FDC48,OUT027,2141.327392578125
FDN33,OUT045,1533.869384765625
FDA36,OUT017,3228.520263671875
FDT44,OUT017,1940.793212890625
FDQ56,OUT045,1310.384033203125
NCC54,OUT019,614.56884765625
FDU11,OUT049,2108.49951171875
DRL59,OUT013,977.1180419921875
FDM24,OUT049,2448.84716796875
FDI57,OUT045,3115.22265625
DRC12,OUT018,2658.759521484375
NCM42,OUT027,2601.82763671875
FDA46,OUT010,796.6915893554688
FDA31,OUT013,2839.661376953125
NCJ31,OUT035,3886.1279296875
FDG52,OUT046,832.7212524414062
NCL19,OUT019,631.21875
FDS10,OUT035,3147.216552734375
FDX22,OUT010,891.793212890625
NCF19,OUT035,808.7341918945312
NCE06,OUT046,2542.81298828125
DRC27,OUT046,3701.0595703125
FDE21,OUT035,1956.4539794921875
NCR42,OUT019,-125.65486145019531
FDX51,OUT018,2684.88427734375
NCR06,OUT018,587.7435302734375
FDU31,OUT027,5620.11865234375
FDU59,OUT017,2759.105712890625
FDR03,OUT027,5637.94482421875
FDS49,OUT027,2153.36962890625
FDD48,OUT010,411.8118591308594
NCF18,OUT017,3219.8173828125
NCD43,OUT027,2601.82763671875
NCD54,OUT018,1816.903564453125
FDY19,OUT010,402.90509033203125
NCY54,OUT017,3003.102294921875
NCL19,OUT018,1994.6053466796875
FDP23,OUT010,666.3604736328125
FDC26,OUT013,1904.21630859375
FDR14,OUT010,-157.70213317871094
NCS41,OUT035,3278.86865234375
FDF41,OUT035,4397.3212890625
FDU34,OUT046,1885.4281005859375
DRH11,OUT046,924.5488891601562
FDM03,OUT013,1723.209228515625
FDS31,OUT017,3131.73876953125
FDJ20,OUT017,1931.8441162109375
FDV44,OUT027,5203.59716796875
FDG02,OUT049,3231.700439453125
FDA09,OUT013,2914.998291015625
FDT04,OUT013,783.53076171875
FDL58,OUT019,814.2296142578125
FDE52,OUT045,1381.7266845703125
FDW12,OUT035,2475.82177734375
FDL51,OUT017,3716.503173828125
NCY42,OUT027,3519.262451171875
FDR07,OUT017,1206.635498046875
FDN40,OUT045,2379.78369140625
FDB35,OUT027,2362.3828125
FDA22,OUT017,2863.805908203125
NCL06,OUT046,4209.53857421875
FDI35,OUT013,2908.3486328125
NCW42,OUT045,4150.09326171875
NCX06,OUT049,3037.81591796875
FDC37,OUT027,2601.82763671875
FDZ14,OUT018,1741.6322021484375
DRG49,OUT049,4251.24658203125
NCG06,OUT045,4025.883056640625
DRC36,OUT045,2932.161376953125
FDV21,OUT019,535.23828125
FDB53,OUT046,2265.639892578125
DRP47,OUT019,573.715087890625
FDA14,OUT013,2320.62109375
DRC24,OUT035,2429.013916015625
FDW21,OUT018,1515.968505859375
NCH29,OUT046,1531.9517822265625
FDU58,OUT013,3007.504638671875
FDY27,OUT017,3082.060302734375
FDV56,OUT035,1791.108154296875
FDT59,OUT046,3847.726318359375
FDB23,OUT046,3732.527587890625
FDR49,OUT045,763.5383911132812
FDB03,OUT010,745.9661254882812
FDN39,OUT045,2730.318115234375
FDX02,OUT027,6016.572265625
FDQ16,OUT027,2601.82763671875
FDU35,OUT018,1316.8580322265625
NCT29,OUT013,1993.7542724609375
FDZ27,OUT046,813.2493896484375
FDN57,OUT017,2130.347900390625
FDA03,OUT018,1961.2882080078125
FDZ36,OUT045,3031.704345703125
NCU05,OUT013,1404.353759765625
FDT39,OUT018,2202.523681640625
FDK60,OUT017,1653.650146484375
FDZ25,OUT017,2976.311767578125
FDG12,OUT046,1923.00244140625
DRB01,OUT019,383.6318054199219
NCC43,OUT027,6092.16552734375
FDX13,OUT019,1096.2806396484375
FDM22,OUT049,956.4200439453125
FDJ03,OUT027,1481.8328857421875
FDU14,OUT018,3299.79443359375
FDB33,OUT010,534.1625366210938
FDP27,OUT046,3025.55078125
FDO38,OUT010,211.26724243164062
FDE28,OUT027,5535.6357421875
FDO27,OUT035,1588.0521240234375
DRL23,OUT027,2601.82763671875
FDS28,OUT046,881.805908203125
FDX24,OUT013,1512.21826171875
FDZ02,OUT035,1638.7257080078125
FDL46,OUT045,1625.250732421875
FDS60,OUT027,4586.89208984375
NCO06,OUT017,638.9610595703125
FDO16,OUT035,1421.4510498046875
FDC60,OUT049,1363.2879638671875
FDA48,OUT018,3224.9609375
FDZ36,OUT027,5160.12744140625
FDK27,OUT045,2021.981201171875
FDW23,OUT018,640.6090698242188
FDM14,OUT018,1436.0885009765625
FDM14,OUT013,1751.137939453125
FDW60,OUT018,2376.035888671875
FDE21,OUT013,1892.174072265625
NCM42,OUT035,1778.2755126953125
FDY59,OUT010,156.69187927246094
DRI49,OUT049,1351.293701171875
FDT28,OUT019,523.3388671875
FDQ22,OUT018,597.4889526367188
FDR60,OUT049,1359.7618408203125
FDC50,OUT019,263.03570556640625
FDV24,OUT013,2289.2431640625
DRF48,OUT010,876.9745483398438
FDQ47,OUT046,697.452880859375
DRN36,OUT049,1621.238525390625
NCY06,OUT035,2141.249267578125
